t,x,y,z,q0,q1,q2,q3
0.06,13.64504,0.62409,0.08235,-0.00013,0.00237,0.04578,0.99895
0.16,14.14559,0.66569,0.08236,-9e-05,0.00232,0.0369,0.99932
0.263,14.59663,0.69565,0.08235,-9e-05,0.00248,0.02891,0.99958
0.36,15.14853,0.72219,0.08235,-7e-05,0.00247,0.01923,0.99981
0.463,15.60041,0.73633,0.08235,-5e-05,0.00245,0.01157,0.99993
0.56,16.15291,0.74359,0.08235,-3e-05,0.00246,0.00252,0.99999
0.663,16.60469,0.74191,0.08234,2e-05,0.00235,-0.00805,0.99996
0.763,17.00548,0.73234,0.08235,3e-05,0.00246,-0.01667,0.99986
0.86,17.65574,0.70143,0.08235,7e-05,0.00238,-0.02975,0.99955
0.963,18.10561,0.67144,0.08234,8e-05,0.00246,-0.0372,0.9993
1.063,18.50518,0.63885,0.08235,9e-05,0.00239,-0.04438,0.99901
1.16,19.15362,0.57472,0.08234,0.00011,0.0024,-0.05438,0.99852
1.263,19.60166,0.52152,0.08235,0.00014,0.00238,-0.06389,0.99795
1.363,20.09837,0.45243,0.08236,0.00019,0.00242,-0.07413,0.99725
1.46,20.64387,0.36971,0.08229,0.00021,0.00235,-0.07609,0.9971
1.56,21.13941,0.29341,0.08229,0.00013,0.00253,-0.07657,0.99706
1.663,21.58484,0.2234,0.08231,0.00018,0.00246,-0.07953,0.99683
1.763,21.97982,0.1589,0.0823,0.00019,0.00237,-0.08206,0.99662
1.86,22.61962,0.05071,0.08233,0.00023,0.00241,-0.08475,0.9964
1.963,23.0614,-0.02473,0.08228,0.00024,0.0026,-0.08344,0.99651
2.06,23.60082,-0.11404,0.08223,0.00024,0.00256,-0.08037,0.99676
2.16,24.09082,-0.19213,0.08227,0.00012,0.00254,-0.07765,0.99698
2.26,24.58071,-0.26741,0.08229,0.00022,0.00236,-0.07459,0.99721
2.36,25.07051,-0.33951,0.08222,0.00018,0.00229,-0.07112,0.99746
2.463,25.51137,-0.40153,0.08233,0.00019,0.00249,-0.06806,0.99768
2.563,25.90337,-0.45422,0.08226,0.00021,0.00263,-0.06527,0.99786
2.66,26.54078,-0.53452,0.0823,0.00016,0.0027,-0.0599,0.9982
2.763,26.88437,-0.57485,0.08223,0.0001,0.00216,-0.05673,0.99839
2.863,27.47359,-0.63953,0.08228,0.00019,0.00218,-0.05247,0.99862
2.963,27.86666,-0.67952,0.08227,0.00019,0.00228,-0.04825,0.99883
3.06,28.50623,-0.73717,0.08232,0.00013,0.0022,-0.04159,0.99913
3.163,28.94938,-0.77232,0.08235,0.0001,0.0027,-0.03677,0.99932
3.26,29.49182,-0.8085,0.08212,0.00012,0.00226,-0.0299,0.99955
3.363,29.93597,-0.8328,0.08231,0.0001,0.00272,-0.02413,0.99971
3.46,30.47963,-0.8546,0.08217,4e-05,0.0024,-0.01598,0.99987
3.56,30.97433,-0.86666,0.08227,1e-05,0.0025,-0.00832,0.99996
3.663,31.41992,-0.87112,0.08234,2e-05,0.00234,-0.00085,1.0
3.76,31.96473,-0.86664,0.08231,2e-05,0.00234,0.00906,0.99996
3.863,32.41058,-0.8552,0.0823,0.0,0.00254,0.01757,0.99984
3.963,32.80695,-0.83806,0.0823,-0.0,0.00246,0.02565,0.99967
4.063,33.40125,-0.80005,0.08217,-4e-05,0.00229,0.03876,0.99925
4.16,33.94524,-0.75064,0.08233,-0.00012,0.00251,0.0516,0.99866
4.26,34.43886,-0.69351,0.08234,-0.00013,0.00238,0.06423,0.99793
4.363,34.88202,-0.63132,0.08229,-0.00012,0.00243,0.07621,0.99709
4.46,35.4217,-0.53959,0.08235,-0.00022,0.00245,0.09155,0.9958
4.563,35.76393,-0.47318,0.08236,-0.00025,0.00258,0.10164,0.99482
4.66,36.39599,-0.32979,0.08218,-0.00023,0.00238,0.12084,0.99267
4.763,36.83072,-0.21692,0.0823,-0.0003,0.00231,0.13374,0.99101
4.863,37.31036,-0.07801,0.08227,-0.00029,0.0023,0.14763,0.98904
4.963,37.69125,0.04282,0.08228,-0.00042,0.0024,0.1577,0.98748
5.063,38.26021,0.23179,0.08218,-0.00066,0.00489,0.16379,0.98648
5.16,38.78057,0.41174,0.0823,-0.00068,0.00418,0.16796,0.98578
5.263,39.20549,0.562,0.08236,-0.00044,0.0025,0.16916,0.98559
5.36,39.72772,0.7357,0.08237,-0.00038,0.00246,0.15113,0.98851
5.46,40.20755,0.87903,0.08229,-0.00022,0.00209,0.13794,0.99044
5.563,40.64186,0.99898,0.08233,-0.00047,0.00351,0.12926,0.9916
5.66,41.1762,1.13425,0.08233,-0.00038,0.00315,0.11731,0.99309
5.763,41.61565,1.23605,0.08232,-0.00034,0.00264,0.10926,0.99401
5.863,42.00791,1.31978,0.08238,-0.00015,0.00151,0.10165,0.99482
5.963,42.5979,1.43605,0.08237,-0.00015,0.00158,0.09196,0.99576
6.063,43.09104,1.52452,0.08235,-0.0002,0.00225,0.08458,0.99641
6.16,43.63527,1.6121,0.08236,-0.00017,0.00223,0.07475,0.9972
6.263,44.08157,1.67626,0.08232,-0.00022,0.00301,0.06652,0.99778
6.363,44.47961,1.72647,0.08236,-0.00014,0.00187,0.05957,0.99822
6.46,45.12726,1.79658,0.08235,-0.00014,0.00229,0.04806,0.99884
6.563,45.57666,1.8358,0.08234,-7e-05,0.00191,0.03917,0.99923
6.663,45.97639,1.86449,0.08234,-0.00011,0.00281,0.03196,0.99949
6.763,46.57695,1.89641,0.08233,-6e-05,0.00275,0.02022,0.99979
6.86,47.12804,1.91361,0.08234,-4e-05,0.00262,0.01093,0.99994
6.96,47.62912,1.91997,0.08234,-2e-05,0.00265,0.00117,1.0
7.063,48.08025,1.9177,0.08235,-1e-05,0.00214,-0.00655,0.99998
7.163,48.58128,1.90659,0.08232,2e-05,0.00217,-0.01503,0.99988
7.263,49.08202,1.88741,0.08232,5e-05,0.00241,-0.0234,0.99972
7.363,49.5824,1.85965,0.08233,7e-05,0.00255,-0.03246,0.99947
7.46,50.13221,1.81912,0.08234,0.0001,0.00251,-0.0411,0.99915
7.563,50.5814,1.77887,0.08235,0.0001,0.00236,-0.04988,0.99875
7.66,51.1292,1.71814,0.08235,0.00013,0.00236,-0.06042,0.99817
7.763,51.57641,1.66042,0.08235,0.00014,0.00237,-0.06871,0.99763
7.86,52.12126,1.57843,0.08234,0.00019,0.00243,-0.07963,0.99682
7.96,52.61526,1.49604,0.08236,0.00022,0.00252,-0.08506,0.99637
8.063,53.05931,1.41939,0.0823,0.00024,0.00247,-0.08584,0.99631
8.163,53.4534,1.34982,0.08232,0.00022,0.00239,-0.08887,0.99604
8.263,54.04254,1.24084,0.08226,0.00024,0.00236,-0.09394,0.99557
8.363,54.43381,1.16493,0.08226,0.00029,0.00251,-0.0972,0.99526
8.46,55.06731,1.03823,0.08231,0.00029,0.00247,-0.09928,0.99506
8.563,55.50473,0.95006,0.08219,0.00028,0.00244,-0.09889,0.9951
8.663,55.893,0.87263,0.08231,0.00028,0.00235,-0.0976,0.99522
8.763,56.47462,0.75853,0.08224,0.00026,0.00242,-0.0956,0.99542
8.86,57.00718,0.65632,0.08222,0.00025,0.00242,-0.09358,0.99561
8.96,57.4911,0.5655,0.08227,0.00015,0.00239,-0.09163,0.99579
9.063,57.92654,0.48551,0.08227,0.00026,0.0025,-0.08959,0.99598
9.163,58.41041,0.39873,0.08226,0.00013,0.00252,-0.08755,0.99616
9.26,58.94276,0.30588,0.08232,0.00023,0.00245,-0.08507,0.99637
9.363,59.37842,0.23172,0.08224,0.0002,0.0025,-0.08305,0.99654
9.46,59.91124,0.14381,0.08223,0.00021,0.00251,-0.08039,0.99676
9.563,60.34747,0.07392,0.08235,0.0002,0.0023,-0.07809,0.99694
9.663,60.73537,0.01366,0.0823,0.00022,0.00264,-0.07555,0.99714
9.76,61.36647,-0.07979,0.08232,0.00016,0.00239,-0.07141,0.99744
9.863,61.80374,-0.14171,0.0823,0.00018,0.00286,-0.06859,0.99764
9.963,62.1931,-0.19414,0.08223,0.00013,0.00213,-0.06524,0.99787
10.063,62.77752,-0.26828,0.08225,0.00014,0.00226,-0.06072,0.99815
10.163,63.16753,-0.31465,0.08221,0.00011,0.00219,-0.05719,0.99836
10.26,63.80218,-0.38418,0.08231,0.00017,0.00232,-0.05191,0.99865
10.363,64.24222,-0.42863,0.08218,0.00012,0.00231,-0.04779,0.99885
10.463,64.63385,-0.46469,0.08233,0.00015,0.00261,-0.04399,0.99903
10.56,65.27148,-0.51644,0.08222,0.0001,0.00233,-0.03679,0.99932
10.663,65.7136,-0.54699,0.08221,7e-05,0.00236,-0.03132,0.99951
10.76,66.25475,-0.57673,0.08233,8e-05,0.0025,-0.02382,0.99971
10.863,66.6981,-0.59526,0.08233,7e-05,0.00252,-0.01705,0.99985
10.96,67.24075,-0.60893,0.08213,6e-05,0.00228,-0.00792,0.99997
11.06,67.73456,-0.61234,0.0822,-3e-05,0.00232,0.00093,1.0
11.16,68.22868,-0.60725,0.08232,1e-05,0.00251,0.0101,0.99995
11.26,68.72306,-0.59218,0.08223,-4e-05,0.00242,0.02018,0.99979
11.363,69.06912,-0.57623,0.08226,-7e-05,0.00235,0.0276,0.99962
11.46,69.71155,-0.53128,0.08224,-2e-05,0.00238,0.04224,0.9991
11.563,70.15426,-0.48939,0.08212,-0.00011,0.0023,0.054,0.99854
11.663,70.54279,-0.44295,0.08228,-9e-05,0.00252,0.06512,0.99787
11.763,71.12124,-0.358,0.08236,-0.00021,0.00258,0.08144,0.99667
11.86,71.64843,-0.26181,0.08236,-0.00024,0.00254,0.0981,0.99517
11.96,72.12476,-0.1593,0.08234,-0.0003,0.00258,0.11424,0.99345
12.063,72.55056,-0.0537,0.08222,-0.00024,0.00224,0.12977,0.99154
12.16,73.06598,0.09448,0.08233,-0.00034,0.00233,0.14893,0.98885
12.263,73.48366,0.2296,0.08235,-0.00039,0.00244,0.16453,0.98637
12.363,73.94232,0.39593,0.08223,-0.00035,0.00254,0.18179,0.98333
12.463,74.39497,0.57824,0.08223,-0.00066,0.00325,0.19822,0.98015
12.563,74.84179,0.77478,0.08222,-0.00073,0.00394,0.21399,0.97683
12.663,75.28199,0.98599,0.08234,-0.00089,0.00379,0.23108,0.97293
12.763,75.62848,1.16636,0.08238,-0.00057,0.00232,0.24547,0.9694
12.863,76.13467,1.45611,0.08232,-0.0005,0.00201,0.26868,0.96323
12.963,76.54261,1.71424,0.08237,-0.00076,0.00253,0.29163,0.95653
13.06,76.96364,2.01414,0.08233,-0.00167,0.00507,0.32218,0.94666
13.163,77.28092,2.27324,0.08239,-0.00098,0.00273,0.35066,0.9365
13.26,77.63559,2.60218,0.08239,-0.00092,0.00233,0.37554,0.9268
13.363,77.91042,2.87765,0.08212,-0.00087,0.00203,0.39416,0.91904
13.463,78.14306,3.12938,0.08223,-0.0014,0.00337,0.40775,0.91309
13.56,78.5114,3.55457,0.08231,-0.0014,0.00313,0.4253,0.90505
13.66,78.77101,3.89007,0.08234,-0.00141,0.00278,0.45687,0.88953
13.76,78.99808,4.22589,0.08236,-0.00122,0.00226,0.47866,0.878
13.863,79.14601,4.4602,0.08234,-0.00139,0.00253,0.48998,0.87173
13.96,79.39563,4.8943,0.08238,-0.00122,0.00207,0.51334,0.85818
14.063,79.54783,5.19233,0.08235,-0.00177,0.0028,0.53493,0.84489
14.163,79.66607,5.45596,0.08223,-0.00118,0.00191,0.55105,0.83447
14.26,79.84132,5.88657,0.08235,-0.00151,0.00221,0.56428,0.82558
14.36,79.96679,6.22035,0.08233,-0.00129,0.00182,0.57526,0.81796
14.46,80.0832,6.5566,0.08229,-0.00115,0.00172,0.58462,0.81131
14.563,80.16062,6.79278,0.08235,-0.00175,0.00239,0.59075,0.80685
14.66,80.28659,7.22745,0.08233,-0.00324,0.00415,0.61898,0.78539
14.763,80.34769,7.52217,0.08237,-0.00248,0.00295,0.64674,0.7627
14.86,80.39506,7.87682,0.08236,-0.00226,0.00253,0.66878,0.74346
14.963,80.41995,8.16499,0.08236,-0.00121,0.0013,0.68488,0.72866
15.063,80.43209,8.42171,0.08221,-0.00247,0.00257,0.69492,0.71908
15.163,80.44022,8.81484,0.08218,-0.00242,0.0025,0.70464,0.70956
15.263,80.43945,9.08111,0.08235,-0.00135,0.00133,0.71176,0.70242
15.363,80.4259,9.4786,0.08238,-0.00153,0.00145,0.72776,0.68583
15.46,80.39542,9.83356,0.08237,-0.00174,0.00157,0.7467,0.66516
15.56,80.34983,10.1429,0.08234,-0.00391,0.00328,0.77,0.63802
15.663,80.2907,10.41149,0.08237,-0.00304,0.00238,0.79086,0.61199
15.763,80.22544,10.64525,0.08237,-0.00238,0.00182,0.80328,0.59559
15.86,80.09664,11.01599,0.08236,-0.00207,0.00145,0.82484,0.56536
15.963,79.99249,11.26939,0.08236,-0.00226,0.00147,0.83797,0.54571
16.06,79.84604,11.57539,0.08229,-0.00221,0.00141,0.85411,0.52009
16.163,79.71131,11.82094,0.08219,-0.00407,0.0025,0.86736,0.49765
16.263,79.58049,12.03618,0.08236,-0.00306,0.00171,0.87747,0.47962
