t,x,y,z,q0,q1,q2,q3
2.154,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.254,2e-05,-0.0,0.0,0.0,0.0,-0.0029,1.0
2.354,7e-05,-0.0,0.0,0.0,0.0,-0.0015,1.0
2.454,0.00012,-0.0,0.0,0.0,0.0,0.00239,1.0
2.554,0.00016,-0.0,0.0,0.0,0.0,0.00523,0.99999
2.654,0.0002,-0.0,0.0,0.0,0.0,-0.00013,1.0
2.754,0.00024,-0.0,0.0,0.0,0.0,0.00326,0.99999
2.854,0.00029,-0.0,0.0,0.0,0.0,-0.0012,1.0
2.954,0.00034,-0.0,0.0,0.0,0.0,0.00195,1.0
3.054,0.00038,-0.0,0.0,0.0,0.0,0.0009,1.0
3.154,0.00044,0.0,0.0,0.0,0.0,-0.00387,0.99999
3.254,0.00053,-0.0,0.0,0.0,0.0,-0.0019,1.0
3.354,0.00352,0.0,0.0,0.0,0.0,0.00035,1.0
3.454,0.01244,2e-05,0.0,0.0,0.0,0.00422,0.99999
3.554,0.0281,0.00013,0.0,0.0,0.0,0.00338,0.99999
3.654,0.05294,4e-05,0.0,0.0,0.0,-0.00641,0.99998
3.754,0.08611,5e-05,0.0,0.0,0.0,0.00125,1.0
3.854,0.1308,0.00054,0.0,0.0,0.0,0.00455,0.99999
3.954,0.18963,0.00088,0.0,0.0,0.0,0.00121,1.0
4.054,0.25922,0.00101,0.0,0.0,0.0,0.00877,0.99996
4.154,0.34016,0.00173,0.0,0.0,0.0,0.01592,0.99987
4.254,0.43037,0.00464,0.0,0.0,0.0,0.01632,0.99987
4.354,0.53067,0.00815,0.0,0.0,0.0,0.01509,0.99989
4.454,0.64133,0.01109,0.0,0.0,0.0,0.01429,0.9999
4.554,0.7605,0.01384,0.0,0.0,0.0,0.01009,0.99995
4.654,0.89039,0.01764,0.0,0.0,0.0,0.01698,0.99986
4.754,1.03226,0.02415,0.0,0.0,0.0,0.02218,0.99975
4.854,1.18497,0.03118,0.0,0.0,0.0,0.02386,0.99972
4.954,1.35103,0.03954,0.0,0.0,0.0,0.018,0.99984
5.054,1.53136,0.04762,0.0,0.0,0.0,0.01816,0.99984
5.154,1.7205,0.05762,0.0,0.0,0.0,0.02735,0.99963
5.254,1.92027,0.06795,0.0,0.0,0.0,0.03069,0.99953
5.354,2.13207,0.08157,0.0,0.0,0.0,0.02186,0.99976
5.454,2.35471,0.09129,0.0,0.0,0.0,0.02173,0.99976
5.554,2.59117,0.10233,0.0,0.0,0.0,0.01953,0.99981
5.654,2.84253,0.11311,0.0,0.0,0.0,0.02325,0.99973
5.754,3.10345,0.12647,0.0,0.0,0.0,0.01891,0.99982
5.854,3.37616,0.13514,0.0,0.0,0.0,0.01588,0.99987
5.954,3.66191,0.14629,0.0,0.0,0.0,0.01607,0.99987
6.054,3.95821,0.15705,0.0,0.0,0.0,0.01825,0.99983
6.154,4.26721,0.16959,0.0,0.0,0.0,0.02218,0.99975
6.254,4.5873,0.18226,0.0,0.0,0.0,0.00918,0.99996
6.354,4.92342,0.19072,0.0,0.0,0.0,0.00885,0.99996
6.454,5.26528,0.20335,0.0,0.0,0.0,0.01344,0.99991
6.554,5.61846,0.21536,0.0,0.0,0.0,0.01863,0.99983
6.654,5.98922,0.228,0.0,0.0,0.0,0.01709,0.99985
6.754,6.36221,0.24362,0.0,0.0,0.0,0.01636,0.99987
6.854,6.74549,0.25627,0.0,0.0,0.0,0.01962,0.99981
6.954,7.14059,0.26888,0.0,0.0,0.0,0.0176,0.99985
7.054,7.54455,0.28283,0.0,0.0,0.0,0.01742,0.99985
7.154,7.95996,0.29422,0.0,0.0,0.0,0.0072,0.99997
7.254,8.39129,0.30062,0.0,0.0,0.0,0.00211,1.0
7.354,8.83194,0.30986,0.0,0.0,0.0,0.01456,0.99989
7.454,9.22877,0.31962,0.0,0.0,0.0,0.01151,0.99993
7.554,9.75083,0.33551,0.0,0.0,0.0,0.01735,0.99985
7.654,10.16047,0.35019,0.0,0.0,0.0,0.01819,0.99983
7.754,10.70948,0.36574,0.0,0.0,0.0,0.01331,0.99991
7.854,11.20179,0.3791,0.0,0.0,0.0,0.01884,0.99982
7.954,11.70342,0.39329,0.0,0.0,0.0,0.01219,0.99993
8.054,12.2156,0.40944,0.0,0.0,0.0,0.01315,0.99991
8.154,12.73904,0.42102,0.0,0.0,0.0,0.0034,0.99999
8.254,13.27361,0.42413,0.0,0.0,0.0,-0.00357,0.99999
8.354,13.8163,0.42149,0.0,0.0,0.0,-0.00877,0.99996
8.454,14.47662,0.40428,0.0,0.0,0.0,-0.01183,0.99993
8.554,15.04427,0.38347,0.0,0.0,0.0,-0.01994,0.9998
8.654,15.62613,0.3587,0.0,0.0,0.0,-0.01783,0.99984
8.754,16.21968,0.33167,0.0,0.0,0.0,-0.02122,0.99977
8.854,16.617,0.31672,0.0,0.0,0.0,-0.01805,0.99984
