t,x,y,z,q0,q1,q2,q3
4.496,1.00002,4.0,0.0,0.0,0.0,0.00745,0.99997
4.596,1.00006,4.0,0.0,0.0,0.0,0.00759,0.99997
4.7,1.00008,4.0,0.0,0.0,0.0,-0.00138,1.0
4.8,1.00013,4.0,0.0,0.0,0.0,0.00806,0.99997
4.9,1.00018,4.0,0.0,0.0,0.0,0.00407,0.99999
5.0,1.00023,4.0,0.0,0.0,0.0,-0.00595,0.99998
5.1,1.0003,4.0,0.0,0.0,0.0,-0.0041,0.99999
5.2,1.00034,4.0,0.0,0.0,0.0,0.00259,1.0
5.3,1.00039,4.0,0.0,0.0,0.0,0.00186,1.0
5.4,1.00044,4.0,0.0,0.0,0.0,-0.00403,0.99999
5.5,1.00048,4.0,0.0,0.0,0.0,-0.00876,0.99996
5.6,1.00052,4.0,0.0,0.0,0.0,-0.00905,0.99996
5.7,1.00311,3.99998,0.0,0.0,0.0,-0.00641,0.99998
5.8,1.00875,3.99994,0.0,0.0,0.0,-0.0049,0.99999
5.9,1.02003,4.00002,0.0,0.0,0.0,0.00878,0.99996
6.0,1.03668,4.00014,0.0,0.0,0.0,-0.00625,0.99998
6.1,1.0686,3.99984,0.0,0.0,0.0,0.00018,1.0
6.2,1.09458,3.99952,0.0,0.0,0.0,0.00195,1.0
6.3,1.13785,3.999,0.0,0.0,0.0,-0.00724,0.99997
6.4,1.19315,3.99792,0.0,0.0,0.0,-0.0128,0.99992
6.5,1.25818,3.99656,0.0,0.0,0.0,-0.01476,0.99989
6.6,1.35076,3.99257,0.0,0.0,0.0,-0.03122,0.99951
6.7,1.44027,3.9876,0.0,0.0,0.0,-0.02698,0.99964
6.8,1.54044,3.9813,0.0,0.0,0.0,-0.04318,0.99907
6.9,1.65031,3.97247,0.0,0.0,0.0,-0.04341,0.99906
7.0,1.77199,3.96257,0.0,0.0,0.0,-0.0443,0.99902
7.1,1.90597,3.94898,0.0,0.0,0.0,-0.05251,0.99862
7.2,2.05196,3.93207,0.0,0.0,0.0,-0.06605,0.99782
7.3,2.20869,3.91213,0.0,0.0,0.0,-0.06781,0.9977
7.4,2.37509,3.88878,0.0,0.0,0.0,-0.06824,0.99767
7.5,2.55387,3.86123,0.0,0.0,0.0,-0.07745,0.997
7.6,2.74298,3.82861,0.0,0.0,0.0,-0.0864,0.99626
7.7,2.94185,3.79195,0.0,0.0,0.0,-0.0937,0.9956
7.8,3.15171,3.74874,0.0,0.0,0.0,-0.11276,0.99362
7.9,3.37408,3.70204,0.0,0.0,0.0,-0.09656,0.99533
8.0,3.60277,3.65138,0.0,0.0,0.0,-0.1123,0.99367
8.1,3.84477,3.59474,0.0,0.0,0.0,-0.12506,0.99215
8.2,4.09648,3.53355,0.0,0.0,0.0,-0.11195,0.99371
8.3,4.35938,3.47048,0.0,0.0,0.0,-0.12122,0.99263
8.4,4.63585,3.40195,0.0,0.0,0.0,-0.11939,0.99285
8.5,4.91932,3.33372,0.0,0.0,0.0,-0.12462,0.9922
8.6,5.21571,3.25582,0.0,0.0,0.0,-0.12494,0.99216
8.7,5.52399,3.18023,0.0,0.0,0.0,-0.11993,0.99278
8.8,5.84155,3.09814,0.0,0.0,0.0,-0.12967,0.99156
8.9,6.17126,3.01381,0.0,0.0,0.0,-0.1303,0.99147
9.0,6.51539,2.92509,0.0,0.0,0.0,-0.12105,0.99265
9.1,6.8636,2.83942,0.0,0.0,0.0,-0.12376,0.99231
9.2,7.22663,2.74738,0.0,0.0,0.0,-0.12986,0.99153
9.3,7.60014,2.64827,0.0,0.0,0.0,-0.12978,0.99154
9.4,7.98239,2.54555,0.0,0.0,0.0,-0.12793,0.99178
9.5,8.37731,2.43964,0.0,0.0,0.0,-0.13685,0.99059
9.6,8.78375,2.32589,0.0,0.0,0.0,-0.14718,0.98911
9.7,9.20645,2.20398,0.0,0.0,0.0,-0.14351,0.98965
9.8,9.63453,2.07795,0.0,0.0,0.0,-0.14522,0.9894
9.9,10.08323,1.94013,0.0,0.0,0.0,-0.14581,0.98931
10.0,10.54712,1.80321,0.0,0.0,0.0,-0.1479,0.989
10.1,11.02612,1.66056,0.0,0.0,0.0,-0.15385,0.98809
10.2,11.52307,1.51172,0.0,0.0,0.0,-0.1416,0.98992
10.3,12.04919,1.36162,0.0,0.0,0.0,-0.12621,0.992
10.4,12.56493,1.23472,0.0,0.0,0.0,-0.10786,0.99417
10.5,13.13447,1.11972,0.0,0.0,0.0,-0.09542,0.99544
10.6,13.70154,1.02408,0.0,0.0,0.0,-0.07394,0.99726
10.7,14.28371,0.93544,0.0,0.0,0.0,-0.06764,0.99771
10.8,14.88355,0.85861,0.0,0.0,0.0,-0.05437,0.99852
10.9,15.48928,0.7908,0.0,0.0,0.0,-0.04938,0.99878
11.0,16.10625,0.73441,0.0,0.0,0.0,-0.04368,0.99905
11.1,16.74003,0.69001,0.0,0.0,0.0,-0.03711,0.99931
11.2,17.38739,0.64728,0.0,0.0,0.0,-0.02504,0.99969
11.3,18.04511,0.62219,0.0,0.0,0.0,-0.01586,0.99987
11.4,18.71518,0.60485,0.0,0.0,0.0,-0.00632,0.99998
11.5,19.40028,0.59809,0.0,0.0,0.0,-0.0002,1.0
11.6,20.09653,0.60065,0.0,0.0,0.0,0.01225,0.99992
11.687,20.82897,0.61907,0.0,0.0,0.0,0.01759,0.99985
11.787,21.55361,0.64948,0.0,0.0,0.0,0.02388,0.99971
11.887,22.29181,0.6955,0.0,0.0,0.0,0.038,0.99928
11.987,23.04348,0.76067,0.0,0.0,0.0,0.04866,0.99882
12.087,23.80915,0.84328,0.0,0.0,0.0,0.05675,0.99839
12.187,24.58882,0.92357,0.0,0.0,0.0,0.05795,0.99832
12.287,25.38152,1.01223,0.0,0.0,0.0,0.06415,0.99794
12.387,26.18817,1.11168,0.0,0.0,0.0,0.06297,0.99802
12.487,27.0096,1.20963,0.0,0.0,0.0,0.0557,0.99845
12.587,27.8433,1.31259,0.0,0.0,0.0,0.0647,0.9979
12.687,28.68816,1.41887,0.0,0.0,0.0,0.05352,0.99857
12.787,29.54812,1.50855,0.0,0.0,0.0,0.05489,0.99849
12.887,30.42009,1.60062,0.0,0.0,0.0,0.05012,0.99874
12.987,31.30512,1.68039,0.0,0.0,0.0,0.03807,0.99928
13.087,32.20282,1.75077,0.0,0.0,0.0,0.03563,0.99937
13.187,33.11249,1.80281,0.0,0.0,0.0,0.0201,0.9998
13.288,34.04227,1.83467,0.0,0.0,0.0,0.01954,0.99981
13.388,34.9733,1.86407,0.0,0.0,0.0,0.00723,0.99997
13.488,35.91646,1.88104,0.0,0.0,0.0,0.00671,0.99998
13.59,36.88837,1.87911,0.0,0.0,0.0,0.00129,1.0
13.69,37.8514,1.88227,0.0,0.0,0.0,-0.00422,0.99999
13.79,38.82827,1.87346,0.0,0.0,0.0,-0.00879,0.99996
13.895,39.86499,1.86333,0.0,0.0,0.0,0.00102,1.0
13.997,40.88173,1.85437,0.0,0.0,0.0,-0.01271,0.99992
14.097,41.8889,1.82496,0.0,0.0,0.0,-0.02078,0.99978
14.197,42.90821,1.78809,0.0,0.0,0.0,-0.01658,0.99986
14.297,43.93864,1.7453,0.0,0.0,0.0,-0.01609,0.99987
14.397,44.98147,1.7016,0.0,0.0,0.0,-0.01566,0.99988
14.497,46.03532,1.65993,0.0,0.0,0.0,-0.02492,0.99969
14.597,47.09648,1.61328,0.0,0.0,0.0,-0.01778,0.99984
14.697,48.1725,1.5882,0.0,0.0,0.0,-0.01452,0.99989
14.797,49.25666,1.56148,0.0,0.0,0.0,-0.01705,0.99985
14.897,50.34839,1.53645,0.0,0.0,0.0,-0.00846,0.99996
14.997,51.44791,1.52037,0.0,0.0,0.0,-0.00417,0.99999
15.097,52.55822,1.51772,0.0,0.0,0.0,4e-05,1.0
15.197,53.67835,1.5257,0.0,0.0,0.0,-0.00062,1.0
15.297,54.80648,1.53828,0.0,0.0,0.0,0.00784,0.99997
15.397,55.94595,1.5609,0.0,0.0,0.0,0.01042,0.99995
15.497,57.09494,1.58678,0.0,0.0,0.0,0.0082,0.99997
15.598,58.26722,1.58951,0.0,0.0,0.0,0.00699,0.99998
15.698,59.44109,1.58657,0.0,0.0,0.0,-0.01465,0.99989
15.798,60.62581,1.55353,0.0,0.0,0.0,-0.01655,0.99986
15.898,61.82226,1.49961,0.0,0.0,0.0,-0.01738,0.99985
15.998,63.03057,1.45611,0.0,0.0,0.0,-0.01049,0.99994
16.098,64.24907,1.41801,0.0,0.0,0.0,-0.01411,0.9999
16.198,65.47681,1.37583,0.0,0.0,0.0,-0.01889,0.99982
16.298,66.71476,1.31925,0.0,0.0,0.0,-0.02062,0.99979
16.398,67.96265,1.27479,0.0,0.0,0.0,-0.01689,0.99986
16.498,69.22193,1.23759,0.0,0.0,0.0,-0.01917,0.99982
16.598,70.49,1.19178,0.0,0.0,0.0,-0.00967,0.99995
16.698,71.76863,1.1538,0.0,0.0,0.0,-0.0142,0.9999
16.799,73.06978,1.11355,0.0,0.0,0.0,-0.01766,0.99984
16.899,74.36589,1.06756,0.0,0.0,0.0,-0.02266,0.99974
