t,x,y,z,q0,q1,q2,q3
-0.071,-0.68649,0.5,0,0,0,-0.06166,0.9981
0.024,0.09303,0.5,0,0,0,-0.07897,0.99688
0.129,0.52975,0.5,0,0,0,-0.07079,0.99749
0.229,1.25784,0.5,0,0,0,-0.08642,0.99626
0.324,2.30744,0.5,0,0,0,-0.09073,0.99588
0.424,3.06122,0.55946,0,0,0,-0.10069,0.99492
0.529,3.51072,0.60639,0,0,0,-0.10405,0.99457
0.629,4.54319,0.67384,0,0,0,-0.10166,0.99482
0.729,5.32362,0.72451,0,0,0,-0.08959,0.99598
0.829,5.85549,0.78125,0,0,0,-0.09625,0.99536
0.929,6.64685,1.29268,0,0,0,-0.09894,0.99509
1.029,7.43327,1.29966,0,0,0,-0.0815,0.99667
1.129,8.5717,1.34153,0,0,0,-0.07867,0.9969
1.229,9.12886,1.38838,0,0,0,-0.06666,0.99778
1.329,9.98548,1.4449,0,0,0,-0.06674,0.99777
1.429,10.8534,1.55946,0,0,0,-0.06052,0.99817
1.529,11.73542,1.60639,0,0,0,-0.04873,0.99881
1.629,12.63484,1.67384,0,0,0,-0.03517,0.99938
1.729,13.55804,1.72451,0,0,0,-0.02496,0.99969
1.829,14.44657,1.78125,0,0,0,-0.01099,0.99994
1.929,15.42238,2.29268,0,0,0,-0.00254,1
2.029,16.36463,2.29966,0,0,0,0.0209,0.99978
2.129,17.64671,2.34153,0,0,0,0.01653,0.99986
2.229,18.62564,2.38838,0,0,0,0.02705,0.99963
2.329,19.28444,2.4449,0,0,0,0.03529,0.99938
2.429,20.61225,2.55946,0,0,0,0.04264,0.99909
2.529,21.28874,2.60639,0,0,0,0.0321,0.99948
2.629,22.31148,2.67384,0,0,0,0.03035,0.99954
2.729,23.349,2.72451,0,0,0,0.03098,0.99952
2.829,24.40164,2.78125,0,0,0,0.02444,0.9997
2.929,25.47907,2.82433,0,0,0,0.01573,0.99988
3.029,26.54892,2.84945,0,0,0,0.00748,0.99997
3.129,27.65415,2.86006,0,0,0,0.00429,0.99999
3.229,28.74968,2.85831,0,0,0,-0.00619,0.99998
3.329,29.89218,2.83981,0,0,0,-0.00339,0.99999
3.429,31.01169,2.81063,0,0,0,-0.01687,0.99986
3.529,32.52258,2.76383,0,0,0,-0.01721,0.99985
3.629,33.33215,2.72826,0,0,0,-0.02914,0.99958
3.729,34.48437,2.66843,0,0,0,-0.02014,0.9998
3.829,35.67086,2.62171,0,0,0,-0.0258,0.99967
3.929,36.85171,2.55359,0,0,0,-0.01973,0.99981
4.029,38.04322,2.50777,0,0,0,-0.0108,0.99994
4.129,39.24737,2.48882,0,0,0,-0.01266,0.99992
4.229,40.46233,2.48201,0,0,0,-0.0027,1
4.329,41.68861,2.49007,0,0,0,0.01169,0.99993
4.429,42.93803,2.51247,0,0,0,0.01105,0.99994
4.529,44.18525,2.5427,0,0,0,0.01233,0.99992
4.629,45.44428,2.58527,0,0,0,0.01919,0.99982
4.729,46.71229,2.63844,0,0,0,0.01398,0.9999
4.829,47.98953,2.68185,0,0,0,0.01333,0.99991
4.929,49.30499,2.72247,0,0,0,0.01307,0.99991
5.019,50.99046,2.77966,0,0,0,0.0201,0.9998
5.129,51.89569,2.82464,0,0,0,0.02353,0.99972
5.229,53.18554,2.88828,0,0,0,0.03053,0.99953
5.329,54.82339,3.00089,0,0,0,0.03738,0.9993
5.429,55.76709,3.07676,0,0,0,0.0495,0.99877
5.529,57.06377,3.20087,0,0,0,0.04442,0.99901
5.629,58.37804,3.32416,0,0,0,0.03896,0.99924
5.729,59.69083,3.42249,0,0,0,0.02762,0.99962
5.829,61.35086,3.5168,0,0,0,0.02162,0.99977
5.929,62.32004,3.57476,0,0,0,0.02774,0.99962
6.029,63.62038,3.64034,0,0,0,0.02596,0.99966
6.129,65.25366,3.7239,0,0,0,0.02727,0.99963
6.229,66.21093,3.77517,0,0,0,0.02326,0.99973
6.329,67.50315,3.84186,0,0,0,0.02904,0.99958
6.429,68.79399,3.90282,0,0,0,0.01742,0.99985
6.529,70.41733,3.96007,0,0,0,0.01244,0.99992
6.629,71.70446,4.00105,0,0,0,0.01214,0.99993
6.729,72.66705,4.01893,0,0,0,-0.00331,0.99999
6.829,73.95081,4.002,0,0,0,-0.01482,0.99989
6.929,75.23048,3.96282,0,0,0,-0.02559,0.99967
7.029,76.49271,3.87957,0,0,0,-0.04002,0.9992
7.129,77.7395,3.76785,0,0,0,-0.0513,0.99868
7.229,78.99396,3.62341,0,0,0,-0.0664,0.99779
7.329,80.21378,3.4542,0,0,0,-0.07062,0.9975
7.429,81.43013,3.27413,0,0,0,-0.07761,0.99698
7.529,82.6394,3.07715,0,0,0,-0.07968,0.99682
7.629,83.85335,2.88997,0,0,0,-0.08163,0.99666
7.729,85.34232,2.65831,0,0,0,-0.07625,0.99709
7.829,86.55331,2.48074,0,0,0,-0.07098,0.99748
7.929,87.54047,2.34917,0,0,0,-0.06171,0.99809
8.029,88.73986,2.20482,0,0,0,-0.05092,0.9987
8.129,89.92548,2.08851,0,0,0,-0.04885,0.99881
8.229,91.26185,1.98259,0,0,0,-0.0257,0.99967
8.329,92.41779,1.94018,0,0,0,-0.00776,0.99997
8.429,93.54673,1.93989,0,0,0,0.01081,0.99994
8.529,94.703,1.9842,0,0,0,0.02432,0.9997
8.629,95.39789,2.03034,0,0,0,0.05438,0.99852
8.729,96.69851,2.2562,0,0,0,0.13083,0.9914
8.829,97.62981,2.55053,0,0,0,0.19114,0.98156
8.929,98.19031,2.82207,0,0,0,0.28552,0.95837
9.029,99.04827,3.44689,0,0,0,0.39053,0.92059
9.129,99.21351,3.6596,0,0,0,0.5009,0.86551
9.229,99.65687,4.37376,0,0,0,0.4941,0.8694
9.318,99.94278,4.99891,0,0,0,0.56739,0.82345
9.429,100.08159,5.39179,0,0,0,0.5947,0.80395
9.529,100.31298,6.29421,0,0,0,0.65342,0.757
9.629,100.3728,6.75414,0,0,0,0.67784,0.73521
9.718,100.42777,7.68002,0,0,0,0.69072,0.72312
9.829,100.44122,8.11667,0,0,0,0.70428,0.70993
9.929,100.47153,9.0057,0,0,0,0.68237,0.73101
10.029,100.51275,9.67452,0,0,0,0.6775,0.73553
10.129,100.56168,10.33267,0,0,0,0.6774,0.73561
10.229,100.60249,10.78124,0,0,0,0.6712,0.74128
10.329,100.67084,11.45561,0,0,0,0.66477,0.74705
10.419,100.78532,12.37924,0,0,0,0.6623,0.74923
10.529,100.83025,12.73419,0,0,0,0.65739,0.75355
10.629,100.93571,13.50607,0,0,0,0.65467,0.75592
10.729,101.04128,14.20325,0,0,0,0.6475,0.76207
10.829,101.2005,15.13875,0,0,0,0.6427,0.76612
10.923,101.34571,15.89737,0,0,0,0.6398,0.76854
11.029,101.42639,16.32554,0,0,0,0.63617,0.77155
11.129,101.60393,17.29193,0,0,0,0.64162,0.76702
11.223,101.74123,18.08072,0,0,0,0.64556,0.76371
11.329,101.80267,18.45766,0,0,0,0.65361,0.75683
11.429,101.92232,19.31083,0,0,0,0.6647,0.74711
11.529,102.01679,20.06985,0,0,0,0.66338,0.74828
11.629,102.10947,20.85508,0,0,0,0.66309,0.74854
11.729,102.19689,21.65299,0,0,0,0.6695,0.74281
11.829,102.27405,22.46173,0,0,0,0.6706,0.74182
11.927,102.38461,23.65006,0,0,0,0.6749,0.73791
12.029,102.42499,24.08735,0,0,0,0.6706,0.74182
12.129,102.55001,25.24781,0,0,0,0.66715,0.74492
12.229,102.60668,25.83372,0,0,0,0.67408,0.73865
12.329,102.67951,26.70671,0,0,0,0.67422,0.73853
12.429,102.76543,27.59734,0,0,0,0.67302,0.73963
12.529,102.86793,28.7705,0,0,0,0.67906,0.73408
12.629,102.92049,29.41518,0,0,0,0.67468,0.73811
12.729,103.0221,30.59867,0,0,0,0.67916,0.73399
12.829,103.08463,31.25642,0,0,0,0.6786,0.73451
12.929,103.16475,32.19414,0,0,0,0.66054,0.75079
13.029,103.26196,33.14624,0,0,0,0.6809,0.73238
13.129,103.34612,34.1108,0,0,0,0.67982,0.73338
13.229,103.40236,35.09058,0,0,0,0.70078,0.71337
13.329,103.39675,36.09403,0,0,0,0.72056,0.69339
13.429,103.33473,37.11052,0,0,0,0.74433,0.66781
13.529,103.20317,38.14837,0,0,0,0.76296,0.64644
13.629,103.02436,39.19955,0,0,0,0.76743,0.64114
13.729,102.83164,40.23985,0,0,0,0.77061,0.63731
13.829,102.53579,41.56635,0,0,0,0.79062,0.6123
13.929,102.34829,42.35603,0,0,0,0.7786,0.62752
14.029,102.1356,43.42543,0,0,0,0.76942,0.63875
